variant,station,control_rmse,candidate_rmse,rmse_delta,rmse_delta_pct,outcome
pre_ln_encoder,AU-MvB_CRO_Merged,7.052747167782821,6.234365675261373,-0.8183814925214472,-11.603726506173944,win
pre_ln_encoder,AU-Sil_GRA_Merged,2.9607636898316527,2.5167069360066425,-0.4440567538250102,-14.998047812801262,win
pre_ln_encoder,AU-Sno_EBF_Merged,2.292743440591289,2.2143547989558443,-0.07838864163544468,-3.4189888082387694,win
pre_ln_encoder,CA-TP3_ENF_Merged,2.5109557828710174,2.778696921656569,0.2677411387855515,10.66291730869977,loss
pre_ln_encoder,CA-TP4_ENF_Merged,2.5611972409931987,2.8207685333567616,0.2595712923635629,10.13476386000262,loss
pre_ln_encoder,CH-Crs_GRA_Merged,3.6183122017574068,3.5860866981322683,-0.03222550362513843,-0.890622528633283,win
pre_ln_encoder,CH-Fru_GRA_Merged,3.742116789132603,3.67047690409666,-0.07163988503594299,-1.914421411004348,win
pre_ln_encoder,CN-Yuc_CRO_Merged,3.711720199342265,4.333482101716046,0.6217619023737813,16.751313918650453,loss
pre_ln_encoder,CZ-KrP_CRO_Merged,4.157722896121677,4.206277646127391,0.04855475000571374,1.1678207330990145,loss
pre_ln_encoder,DE-Amv_WET_Merged,4.074442257292313,4.215308319662283,0.14086606236996957,3.4573090861172906,loss
pre_ln_encoder,DE-Har_ENF_Merged,2.5598940282411453,2.568338293269362,0.008444265028216602,0.3298677576125484,loss
pre_ln_encoder,DE-RuM_CRO_Merged,4.596330069297273,4.978810642407465,0.38248057311019235,8.32143399937919,loss
pre_ln_encoder,DE-RuR_GRA_Merged,3.574116339769227,3.6177104491913545,0.04359410942212749,1.2197171350315439,loss
pre_ln_encoder,DE-RuS_CRO_Merged,4.949142875018484,5.028183212051841,0.07904033703335767,1.597051025387148,loss
pre_ln_encoder,ES-HeB_ENF_Merged,2.0267574439803124,1.918745097182081,-0.10801234679823146,-5.329317877629598,win
pre_ln_encoder,ES-LM2_SAV_Merged,1.5338937544440525,1.5525644502028653,0.01867069575881275,1.217209190970322,loss
pre_ln_encoder,FR-CLt_GRA_Merged,3.783260939953519,3.5512969755443606,-0.23196396440915823,-6.131323429464745,win
pre_ln_encoder,FR-Mej_GRA_Merged,4.693949716210748,4.594038735054291,-0.0999109811564578,-2.1285055698703186,win
pre_ln_encoder,IL-Yat_ENF_Merged,1.8618269129496747,2.10628641062958,0.24445949767990527,13.130087226669765,loss
pre_ln_encoder,IT-BsB_DBF_Merged,2.7607259540221865,2.9257700566179117,0.16504410259572522,5.978286340057309,loss
pre_ln_encoder,IT-SR2_ENF_Merged,3.844075618386728,3.757912314745638,-0.08616330364109004,-2.2414570418167483,win
pre_ln_encoder,KR-ScC_ENF_Merged,3.0383912850859742,3.7690021230022013,0.730610837916227,24.045975957818538,loss
pre_ln_encoder,RU-Fy2_ENF_Merged,2.955399798618566,3.410502747668422,0.45510294904985615,15.399031605219152,loss
pre_ln_encoder,RU-Fyo_ENF_Merged,2.705392035910339,3.5116746954156755,0.8062826595053365,29.802803024591224,loss
pre_ln_encoder,US-CMW_DBF_Merged,2.1208246787029896,2.1159654544002477,-0.0048592243027418824,-0.22911956615450113,win
pre_ln_encoder,US-CRK_ENF_Merged,2.5213084328640916,2.3637325928826547,-0.15757583998143687,-6.249764524145817,win
pre_ln_encoder,US-MMS_DBF_Merged,2.8565423643319408,2.8127790582370906,-0.04376330609485013,-1.5320377054896244,win
pre_ln_encoder,US-Mo1_CRO_Merged,5.989484076852802,6.0092191866030875,0.01973510975028514,0.3294959882530488,loss
pre_ln_encoder,US-Ne2_CRO_Merged,3.8560868092292764,4.149994214489952,0.29390740526067605,7.621908421699144,loss
pre_ln_encoder,US-Ro1_CRO_Merged,4.925120648107722,4.501728377021424,-0.42339227108629807,-8.59658679120824,win
pre_ln_encoder,US-SP1_ENF_Merged,3.0441867160293037,2.8798058588453617,-0.16438085718394202,-5.399828345560643,win
pre_ln_encoder,US-SRG_GRA_Merged,1.9010046048695197,2.0788303047274,0.17782569985788044,9.354301373198723,loss
pre_ln_encoder,US-SRM_WSA_Merged,1.6265273015517543,1.6372182514596998,0.010690949907945502,0.6572868403589676,loss
pre_ln_encoder,US-TKs_CSH_Merged,1.3708988797332535,1.4653105448642199,0.09441166513096633,6.886843845793845,loss
pre_ln_encoder,US-UC1_CVM_Merged,3.4319509917109388,3.5532517587555335,0.12130076704459469,3.5344551054944504,loss
pre_ln_encoder,US-UMd_DBF_Merged,2.660874283223561,2.674546049873002,0.013671766649441253,0.5138073127182229,loss
pre_ln_encoder,US-Var_GRA_Merged,2.4498269796200827,2.767034789458658,0.31720780983857555,12.9481719516277,loss
pre_ln_encoder,US-Wkg_GRA_Merged,1.5546375602373792,1.4807463151954212,-0.07389124504195799,-4.752956375933402,win
pre_ln_encoder,US-xAE_GRA_Merged,1.79486439366455,1.866277363957154,0.07141297029260385,3.978739037036718,loss
pre_ln_encoder,US-xBL_DBF_Merged,2.3337217682526146,2.540560065475338,0.20683829722272362,8.863023006276999,loss
pre_ln_encoder,US-xCL_GRA_Merged,2.805385551256506,3.456309794301104,0.6509242430445981,23.202666127408232,loss
pre_ln_encoder,US-xJR_OSH_Merged,0.8865426402595284,0.8650477895498275,-0.02149485070970092,-2.4245704305219284,win
pre_ln_encoder,US-xUN_MF_Merged,2.1857643358817946,2.336358843336665,0.15059450745487046,6.889787017872477,loss
zero_init_gated_residual,AU-MvB_CRO_Merged,7.052747167782821,7.808606217535845,0.755859049753024,10.717228787185409,loss
zero_init_gated_residual,AU-Sil_GRA_Merged,2.9607636898316527,3.0153748478828475,0.054611158051194764,1.844495669774305,loss
zero_init_gated_residual,AU-Sno_EBF_Merged,2.292743440591289,2.2606719588653097,-0.03207148172597929,-1.398825579791352,win
zero_init_gated_residual,CA-TP3_ENF_Merged,2.5109557828710174,2.5290075244253147,0.01805174155429734,0.7189191334009493,loss
zero_init_gated_residual,CA-TP4_ENF_Merged,2.5611972409931987,2.4900984237442327,-0.07109881724896594,-2.7759992909173503,win
zero_init_gated_residual,CH-Crs_GRA_Merged,3.6183122017574068,3.4374577606415735,-0.18085444111583326,-4.998309461190017,win
zero_init_gated_residual,CH-Fru_GRA_Merged,3.742116789132603,3.83626520061726,0.09414841148465714,2.5159132328010556,loss
zero_init_gated_residual,CN-Yuc_CRO_Merged,3.711720199342265,4.02455137436907,0.3128311750268047,8.428199277581319,loss
zero_init_gated_residual,CZ-KrP_CRO_Merged,4.157722896121677,4.467662628270993,0.30993973214931625,7.454554810240673,loss
zero_init_gated_residual,DE-Amv_WET_Merged,4.074442257292313,3.3620406623199255,-0.7124015949723876,-17.484640841267364,win
zero_init_gated_residual,DE-Har_ENF_Merged,2.5598940282411453,2.3367144567214186,-0.22317957151972667,-8.71831290895542,win
zero_init_gated_residual,DE-RuM_CRO_Merged,4.596330069297273,4.306433551544263,-0.28989651775300995,-6.307130109942951,win
zero_init_gated_residual,DE-RuR_GRA_Merged,3.574116339769227,3.5309208308329287,-0.04319550893629831,-1.208564714462746,win
zero_init_gated_residual,DE-RuS_CRO_Merged,4.949142875018484,5.006224971981608,0.05708209696312405,1.153373390193567,loss
zero_init_gated_residual,ES-HeB_ENF_Merged,2.0267574439803124,2.015891151989203,-0.010866291991109556,-0.5361417086876188,win
zero_init_gated_residual,ES-LM2_SAV_Merged,1.5338937544440525,1.4109004540877919,-0.12299330035626066,-8.01837154626388,win
zero_init_gated_residual,FR-CLt_GRA_Merged,3.783260939953519,3.6975579094836935,-0.08570303046982541,-2.265321684918682,win
zero_init_gated_residual,FR-Mej_GRA_Merged,4.693949716210748,4.879690388295129,0.18574067208438017,3.9570230469857215,loss
zero_init_gated_residual,IL-Yat_ENF_Merged,1.8618269129496747,1.9775645550759,0.11573764212622528,6.216348110623411,loss
zero_init_gated_residual,IT-BsB_DBF_Merged,2.7607259540221865,3.1679702667368814,0.40724431271469497,14.751348721207485,loss
zero_init_gated_residual,IT-SR2_ENF_Merged,3.844075618386728,3.626861225042696,-0.21721439334403225,-5.650627482588186,win
zero_init_gated_residual,KR-ScC_ENF_Merged,3.0383912850859742,3.618036263902281,0.5796449788163067,19.07736444813773,loss
zero_init_gated_residual,RU-Fy2_ENF_Merged,2.955399798618566,2.982792335675726,0.027392537057160382,0.9268640090577389,loss
zero_init_gated_residual,RU-Fyo_ENF_Merged,2.705392035910339,2.803689378329595,0.09829734241925614,3.633386256575565,loss
zero_init_gated_residual,US-CMW_DBF_Merged,2.1208246787029896,2.6639290657850676,0.543104387082078,25.60816990371022,loss
zero_init_gated_residual,US-CRK_ENF_Merged,2.5213084328640916,2.9941022518244416,0.47279381896035,18.751923120460027,loss
zero_init_gated_residual,US-MMS_DBF_Merged,2.8565423643319408,2.6088703334570584,-0.24767203087488232,-8.670343348217955,win
zero_init_gated_residual,US-Mo1_CRO_Merged,5.989484076852802,6.855052491691918,0.8655684148391156,14.451468669634263,loss
zero_init_gated_residual,US-Ne2_CRO_Merged,3.8560868092292764,3.881688762152901,0.025601952923624438,0.6639361142583186,loss
zero_init_gated_residual,US-Ro1_CRO_Merged,4.925120648107722,5.208828466158565,0.2837078180508428,5.760423719972139,loss
zero_init_gated_residual,US-SP1_ENF_Merged,3.0441867160293037,3.2466203906846607,0.202433674655357,6.6498442289835005,loss
zero_init_gated_residual,US-SRG_GRA_Merged,1.9010046048695197,1.6424828547897832,-0.25852175007973655,-13.599217456786795,win
zero_init_gated_residual,US-SRM_WSA_Merged,1.6265273015517543,1.7264156498095957,0.09988834825784143,6.141203296283133,loss
zero_init_gated_residual,US-TKs_CSH_Merged,1.3708988797332535,1.601006010459042,0.23010713072578848,16.785127927930194,loss
zero_init_gated_residual,US-UC1_CVM_Merged,3.4319509917109388,3.2666310216316794,-0.16531997007925936,-4.817084232220985,win
zero_init_gated_residual,US-UMd_DBF_Merged,2.660874283223561,2.8239101740843426,0.16303589086078185,6.127154968902524,loss
zero_init_gated_residual,US-Var_GRA_Merged,2.4498269796200827,1.9959691330880536,-0.4538578465320291,-18.526118387446814,win
zero_init_gated_residual,US-Wkg_GRA_Merged,1.5546375602373792,1.4403298653757652,-0.11430769486161396,-7.3526909284348045,win
zero_init_gated_residual,US-xAE_GRA_Merged,1.79486439366455,2.060201438675564,0.26533704501101396,14.783124894983231,loss
zero_init_gated_residual,US-xBL_DBF_Merged,2.3337217682526146,2.281366391642116,-0.052355376610498716,-2.2434283864824236,win
zero_init_gated_residual,US-xCL_GRA_Merged,2.805385551256506,3.0935067309789934,0.2881211797224874,10.270288146078196,loss
zero_init_gated_residual,US-xJR_OSH_Merged,0.8865426402595284,0.9403784406038147,0.053835800344286255,6.072556231308428,loss
zero_init_gated_residual,US-xUN_MF_Merged,2.1857643358817946,2.3366680213725037,0.1509036854907091,6.903932094300121,loss
bidirectional_cross_attention,AU-MvB_CRO_Merged,7.052747167782821,7.005940994972506,-0.04680617281031463,-0.6636587374651222,win
bidirectional_cross_attention,AU-Sil_GRA_Merged,2.9607636898316527,2.5912566670616286,-0.3695070227700241,-12.480125450033269,win
bidirectional_cross_attention,AU-Sno_EBF_Merged,2.292743440591289,1.9929987115915744,-0.2997447289997146,-13.073627153084852,win
bidirectional_cross_attention,CA-TP3_ENF_Merged,2.5109557828710174,2.7906372532699173,0.2796814703988999,11.13844665472815,loss
bidirectional_cross_attention,CA-TP4_ENF_Merged,2.5611972409931987,2.6977464942777067,0.13654925328450807,5.331461829607315,loss
bidirectional_cross_attention,CH-Crs_GRA_Merged,3.6183122017574068,3.818444382781014,0.2001321810236072,5.531092118761985,loss
bidirectional_cross_attention,CH-Fru_GRA_Merged,3.742116789132603,3.782729784627289,0.04061299549468611,1.0852947084021909,loss
bidirectional_cross_attention,CN-Yuc_CRO_Merged,3.711720199342265,5.276527098452053,1.5648068991097883,42.15853607141723,loss
bidirectional_cross_attention,CZ-KrP_CRO_Merged,4.157722896121677,4.261155362510499,0.10343246638882242,2.487719094634811,loss
bidirectional_cross_attention,DE-Amv_WET_Merged,4.074442257292313,4.0966027867998465,0.022160529507533333,0.543891117069363,loss
bidirectional_cross_attention,DE-Har_ENF_Merged,2.5598940282411453,2.7179325953750317,0.15803856713388642,6.173637087722406,loss
bidirectional_cross_attention,DE-RuM_CRO_Merged,4.596330069297273,4.752163728057396,0.15583365876012323,3.3903931269224197,loss
bidirectional_cross_attention,DE-RuR_GRA_Merged,3.574116339769227,3.702589984440026,0.12847364467079903,3.5945568766542806,loss
bidirectional_cross_attention,DE-RuS_CRO_Merged,4.949142875018484,5.231910036416245,0.2827671613977616,5.713457229636062,loss
bidirectional_cross_attention,ES-HeB_ENF_Merged,2.0267574439803124,2.1127145595996186,0.08595711561930619,4.241115081363488,loss
bidirectional_cross_attention,ES-LM2_SAV_Merged,1.5338937544440525,1.3891208071667605,-0.14477294727729206,-9.438264342484649,win
bidirectional_cross_attention,FR-CLt_GRA_Merged,3.783260939953519,3.168260051966343,-0.615000887987176,-16.255841131453437,win
bidirectional_cross_attention,FR-Mej_GRA_Merged,4.693949716210748,4.708177027095727,0.014227310884978195,0.3030989197827065,loss
bidirectional_cross_attention,IL-Yat_ENF_Merged,1.8618269129496747,2.176508463436608,0.31468155048693314,16.90176182856795,loss
bidirectional_cross_attention,IT-BsB_DBF_Merged,2.7607259540221865,3.112929718159819,0.35220376413763255,12.757650342820012,loss
bidirectional_cross_attention,IT-SR2_ENF_Merged,3.844075618386728,3.8657331158070773,0.02165749742034917,0.5633993596993373,loss
bidirectional_cross_attention,KR-ScC_ENF_Merged,3.0383912850859742,3.5008763065715978,0.46248502148562354,15.221377962599608,loss
bidirectional_cross_attention,RU-Fy2_ENF_Merged,2.955399798618566,3.46628193309674,0.510882134478174,17.2863967412116,loss
bidirectional_cross_attention,RU-Fyo_ENF_Merged,2.705392035910339,3.7319674217371572,1.0265753858268183,37.94553144980281,loss
bidirectional_cross_attention,US-CMW_DBF_Merged,2.1208246787029896,2.5510693228124945,0.4302446441095049,20.28666718328764,loss
bidirectional_cross_attention,US-CRK_ENF_Merged,2.5213084328640916,2.513412253529066,-0.007896179335025622,-0.31317784179446545,win
bidirectional_cross_attention,US-MMS_DBF_Merged,2.8565423643319408,2.802365786034184,-0.054176578297756794,-1.896578849108967,win
bidirectional_cross_attention,US-Mo1_CRO_Merged,5.989484076852802,6.4627069880241965,0.47322291117139414,7.900896055475465,loss
bidirectional_cross_attention,US-Ne2_CRO_Merged,3.8560868092292764,3.915412851461177,0.05932604223190063,1.538503803646429,loss
bidirectional_cross_attention,US-Ro1_CRO_Merged,4.925120648107722,5.942681148632391,1.0175605005246693,20.660620789373468,loss
bidirectional_cross_attention,US-SP1_ENF_Merged,3.0441867160293037,3.167834409396915,0.12364769336761139,4.0617644350308355,loss
bidirectional_cross_attention,US-SRG_GRA_Merged,1.9010046048695197,1.905147384807974,0.004142779938454355,0.21792582342212186,loss
bidirectional_cross_attention,US-SRM_WSA_Merged,1.6265273015517543,1.8807711210430038,0.2542438194912495,15.631082198785936,loss
bidirectional_cross_attention,US-TKs_CSH_Merged,1.3708988797332535,1.606428113291189,0.23552923355793554,17.180642353706226,loss
bidirectional_cross_attention,US-UC1_CVM_Merged,3.4319509917109388,3.1904997882224824,-0.2414512034884564,-7.035391940957908,win
bidirectional_cross_attention,US-UMd_DBF_Merged,2.660874283223561,2.704364371912552,0.04349008868899107,1.63442853964165,loss
bidirectional_cross_attention,US-Var_GRA_Merged,2.4498269796200827,2.257215454151524,-0.19261152546855875,-7.862250153618147,win
bidirectional_cross_attention,US-Wkg_GRA_Merged,1.5546375602373792,1.475095999240555,-0.07954156099682419,-5.116405458818254,win
bidirectional_cross_attention,US-xAE_GRA_Merged,1.79486439366455,1.9977457866222248,0.2028813929576747,11.303438503421116,loss
bidirectional_cross_attention,US-xBL_DBF_Merged,2.3337217682526146,2.431820314249084,0.09809854599646961,4.203523630407808,loss
bidirectional_cross_attention,US-xCL_GRA_Merged,2.805385551256506,3.116735046851709,0.311349495595203,11.098278290331695,loss
bidirectional_cross_attention,US-xJR_OSH_Merged,0.8865426402595284,0.8896461893133342,0.003103549053805721,0.3500732974216763,loss
bidirectional_cross_attention,US-xUN_MF_Merged,2.1857643358817946,2.394525245000726,0.20876090911893153,9.55093400015203,loss
gpp_query_pooling,AU-MvB_CRO_Merged,7.052747167782821,7.650264991165513,0.5975178233826925,8.472128791347767,loss
gpp_query_pooling,AU-Sil_GRA_Merged,2.9607636898316527,3.4608793439585925,0.5001156541269398,16.89144107800701,loss
gpp_query_pooling,AU-Sno_EBF_Merged,2.292743440591289,1.826042175166145,-0.4667012654251439,-20.355581752521932,win
gpp_query_pooling,CA-TP3_ENF_Merged,2.5109557828710174,2.5438929486564916,0.03293716578547423,1.311738183928273,loss
gpp_query_pooling,CA-TP4_ENF_Merged,2.5611972409931987,2.5542940423944382,-0.006903198598760429,-0.26953014349193427,win
gpp_query_pooling,CH-Crs_GRA_Merged,3.6183122017574068,3.388443957671962,-0.22986824408544493,-6.35291349303132,win
gpp_query_pooling,CH-Fru_GRA_Merged,3.742116789132603,3.689859572782466,-0.052257216350136915,-1.3964613959108898,win
gpp_query_pooling,CN-Yuc_CRO_Merged,3.711720199342265,5.175109237667095,1.4633890383248298,39.42616791492391,loss
gpp_query_pooling,CZ-KrP_CRO_Merged,4.157722896121677,3.995657985018848,-0.16206491110282917,-3.8979247812306896,win
gpp_query_pooling,DE-Amv_WET_Merged,4.074442257292313,4.1157083814127,0.041266124120387104,1.0128042444712584,loss
gpp_query_pooling,DE-Har_ENF_Merged,2.5598940282411453,2.62332903589637,0.06343500765522458,2.478032565231209,loss
gpp_query_pooling,DE-RuM_CRO_Merged,4.596330069297273,5.259160654260851,0.6628305849635785,14.4208656682682,loss
gpp_query_pooling,DE-RuR_GRA_Merged,3.574116339769227,3.4676844153886135,-0.10643192438061355,-2.9778528246645055,win
gpp_query_pooling,DE-RuS_CRO_Merged,4.949142875018484,5.19152069551388,0.24237782049539636,4.897369637858579,loss
